case,packed,nseq,total_tokens,heads,mode,repeat,order_index,mean_ms,median_ms,p90_ms,min_ms,max_ms,stdev_ms
packed_32x256,True,32,8192,12,v16,0,2,0.258143038675189,0.2585279941558838,0.2605760097503662,0.24848000705242157,0.2690880000591278,0.0018765027305684611
packed_32x256,True,32,8192,12,v64,0,3,0.13289056085050105,0.1335040032863617,0.1337919980287552,0.13068799674510956,0.14192000031471252,0.0013064409098307102
packed_32x256,True,32,8192,12,compat_v128,0,4,0.1250220790505409,0.12537600100040436,0.12563200294971466,0.12236800044775009,0.13631999492645264,0.001339798605134973
packed_32x256,True,32,8192,12,auto,1,0,0.12501775909215213,0.12537600100040436,0.12559999525547028,0.12329600006341934,0.13657599687576294,0.0013741771418285967
packed_32x256,True,32,8192,12,v64,1,1,0.13331856064498424,0.13359999656677246,0.13385599851608276,0.1297920048236847,0.14207999408245087,0.0013247892609420154
packed_32x256,True,32,8192,12,v32,1,2,0.17227967910468578,0.1725119948387146,0.17446400225162506,0.17033599317073822,0.18111999332904816,0.0014222845068750207
packed_32x256,True,32,8192,12,v16,1,3,0.2580819185078144,0.2584640085697174,0.2606079876422882,0.25065600872039795,0.267551988363266,0.0019181749660642938
packed_32x256,True,32,8192,12,compat_v128,1,4,0.1247243194654584,0.1252799928188324,0.12566399574279785,0.12230399996042252,0.1345600038766861,0.0013402301497765178
packed_32x256,True,32,8192,12,compat_v128,2,0,0.12471232019364833,0.1252799928188324,0.12563200294971466,0.12249600142240524,0.13574400544166565,0.0013778330899771134
packed_32x256,True,32,8192,12,v16,2,1,0.25790431901812555,0.2584640085697174,0.2605760097503662,0.25046399235725403,0.266975998878479,0.0018817335219820193
packed_32x256,True,32,8192,12,v32,2,2,0.17198079951107503,0.17238399386405945,0.17452800273895264,0.16963200271129608,0.181536003947258,0.0015822358693557109
packed_32x256,True,32,8192,12,v64,2,3,0.13286800116300582,0.13284800201654434,0.13382400572299957,0.13148799538612366,0.14800000190734863,0.0015557127181540366
packed_32x256,True,32,8192,12,auto,2,4,0.12474703960120678,0.12534399330615997,0.12563200294971466,0.12256000190973282,0.13551999628543854,0.0013177594978041052
