case,packed,nseq,total_tokens,heads,mode,repeat,order_index,mean_ms,median_ms,p90_ms,min_ms,max_ms,stdev_ms
packed_1x8192,True,1,8192,12,auto,0,3,0.7853256002068519,0.7849759757518768,0.7871360182762146,0.7811200022697449,0.7982720136642456,0.0018496198448873535
packed_1x8192,True,1,8192,12,compat_v128,0,4,0.7853622418642044,0.784928023815155,0.7870720028877258,0.7819520235061646,0.7954879999160767,0.0017373992419806351
packed_1x8192,True,1,8192,12,v64,1,0,0.6329164758324624,0.6332639753818512,0.6353600025177002,0.6291519999504089,0.644320011138916,0.0019663882101695405
packed_1x8192,True,1,8192,12,v32,1,1,0.5840052792429924,0.5841280221939087,0.5861759781837463,0.5799999833106995,0.5960000157356262,0.0016466288154626863
packed_1x8192,True,1,8192,12,auto,1,2,0.7852393606305123,0.784928023815155,0.7870079874992371,0.7816640138626099,0.7979199886322021,0.0017779378791478843
packed_1x8192,True,1,8192,12,compat_v128,1,3,0.7854321590065956,0.784991979598999,0.7870720028877258,0.7827200293540955,0.7993599772453308,0.0018912276870078394
packed_1x8192,True,1,8192,12,v16,1,4,0.5741041606664657,0.5739840269088745,0.5760959982872009,0.5698239803314209,0.5869119763374329,0.001986096755171752
packed_1x8192,True,1,8192,12,v64,2,0,0.6326599991321564,0.633184015750885,0.6353600025177002,0.6292160153388977,0.6440640091896057,0.0019009313349984543
packed_1x8192,True,1,8192,12,compat_v128,2,1,0.7853939199447632,0.7849599719047546,0.7870399951934814,0.7818880081176758,0.8006399869918823,0.0018872998042282444
packed_1x8192,True,1,8192,12,v16,2,2,0.5740244805812835,0.5739840269088745,0.5760319828987122,0.569920003414154,0.5826560258865356,0.0017788883211421692
packed_1x8192,True,1,8192,12,auto,2,3,0.7852512016892433,0.784928023815155,0.7870079874992371,0.7817280292510986,0.7990400195121765,0.0018124945410728645
packed_1x8192,True,1,8192,12,v32,2,4,0.5840054380893708,0.5841280221939087,0.5862079858779907,0.5800319910049438,0.6273599863052368,0.003400450527827338
packed_1x8192,True,1,8192,12,auto,3,0,0.7855208003520966,0.784991979598999,0.7870720028877258,0.7827200293540955,0.7997120022773743,0.0018674692697269728
packed_1x8192,True,1,8192,12,v16,3,1,0.5741134434938431,0.5739840269088745,0.5759999752044678,0.569920003414154,0.589792013168335,0.001847262807142865
packed_1x8192,True,1,8192,12,v32,3,2,0.5836910381913185,0.5840960144996643,0.5860159993171692,0.5791680216789246,0.5948160290718079,0.001705723555804997
packed_1x8192,True,1,8192,12,compat_v128,3,3,0.7853409603238106,0.7849599719047546,0.7870399951934814,0.7827519774436951,0.7972480058670044,0.0017934146113742098
packed_1x8192,True,1,8192,12,v64,3,4,0.633065277338028,0.6333119869232178,0.6352959871292114,0.6292160153388977,0.6422399878501892,0.001730287761552531
packed_1x8192,True,1,8192,12,v64,4,0,0.633006080687046,0.6333119869232178,0.6352959871292114,0.628383994102478,0.6589760184288025,0.0023931860943945823
packed_1x8192,True,1,8192,12,auto,4,1,0.7853507187962532,0.7849599719047546,0.7870399951934814,0.7808319926261902,0.8033919930458069,0.0020265437871147393
packed_1x8192,True,1,8192,12,compat_v128,4,2,0.7854678389430046,0.784991979598999,0.787168025970459,0.7819839715957642,0.8014400005340576,0.0019797202741497046
packed_1x8192,True,1,8192,12,v32,4,3,0.5838678392767906,0.5841599702835083,0.5860159993171692,0.5801600217819214,0.5990719795227051,0.0018573169617887623
packed_1x8192,True,1,8192,12,v16,4,4,0.574139042198658,0.5739840269088745,0.5759999752044678,0.569920003414154,0.5938559770584106,0.0020884666189281346
packed_ragged6,True,6,8192,12,v64,0,0,0.2807932785153389,0.2810559868812561,0.28118398785591125,0.2771199941635132,0.29183998703956604,0.0010974994651534364
packed_ragged6,True,6,8192,12,v32,0,1,0.287298721075058,0.28723201155662537,0.2892799973487854,0.2850880026817322,0.2953920066356659,0.0012975641533129576
packed_ragged6,True,6,8192,12,auto,0,2,0.34000432059168817,0.34038400650024414,0.34060800075531006,0.3373120129108429,0.36137598752975464,0.0017886266237663075
packed_ragged6,True,6,8192,12,v16,0,3,0.32124367654323577,0.3218879997730255,0.32211199402809143,0.31804800033569336,0.33212798833847046,0.001323434418297959
packed_ragged6,True,6,8192,12,compat_v128,0,4,0.3396179206669331,0.3402720093727112,0.3405759930610657,0.33638399839401245,0.3489280045032501,0.0012339900602844223
packed_ragged6,True,6,8192,12,compat_v128,1,0,0.33968080013990404,0.34033599495887756,0.34060800075531006,0.33641600608825684,0.3498240113258362,0.0013113127453900104
packed_ragged6,True,6,8192,12,v64,1,1,0.28051855966448785,0.2809920012950897,0.28118398785591125,0.2789759933948517,0.29183998703956604,0.0011913206217029335
packed_ragged6,True,6,8192,12,auto,1,2,0.33984159961342814,0.34031999111175537,0.34060800075531006,0.3375680148601532,0.35286399722099304,0.0013279996512373347
packed_ragged6,True,6,8192,12,v32,1,3,0.28738304048776625,0.28723201155662537,0.289247989654541,0.28512001037597656,0.3095040023326874,0.0019767511988844884
packed_ragged6,True,6,8192,12,v16,1,4,0.321421118080616,0.3219040036201477,0.3221760094165802,0.31808000802993774,0.3445119857788086,0.0019266610954913597
packed_ragged6,True,6,8192,12,v64,2,0,0.2803716775774956,0.28097599744796753,0.28118398785591125,0.27798399329185486,0.2898559868335724,0.0011914873357550782
packed_ragged6,True,6,8192,12,compat_v128,2,1,0.33967968001961707,0.3403040021657944,0.3405759930610657,0.33670398592948914,0.3508799970149994,0.0012996405162141156
packed_ragged6,True,6,8192,12,v32,2,2,0.2871468810737133,0.287200003862381,0.289216011762619,0.2850880026817322,0.3025600016117096,0.0016900733039672874
packed_ragged6,True,6,8192,12,auto,2,3,0.3397316810488701,0.3402880132198334,0.3405759930610657,0.33740800619125366,0.3529280126094818,0.0014262922063295958
packed_ragged6,True,6,8192,12,v16,2,4,0.3213535974919796,0.3219359964132309,0.3222079873085022,0.31910398602485657,0.3307519853115082,0.001266789919761213
packed_ragged6,True,6,8192,12,v16,3,0,0.3213940769433975,0.3219200074672699,0.3221760094165802,0.31891199946403503,0.3325119912624359,0.001308484919560065
packed_ragged6,True,6,8192,12,v32,3,1,0.2873894403874874,0.28723201155662537,0.289216011762619,0.28512001037597656,0.33750399947166443,0.0037933734561437617
packed_ragged6,True,6,8192,12,v64,3,2,0.2805441589653492,0.2809920012950897,0.28121599555015564,0.27804800868034363,0.30505600571632385,0.0019973221994600606
packed_ragged6,True,6,8192,12,auto,3,3,0.33973504066467286,0.3403040021657944,0.3405759930610657,0.33667200803756714,0.35100799798965454,0.0013063824004968328
packed_ragged6,True,6,8192,12,compat_v128,3,4,0.33976112082600596,0.34031999111175537,0.3405759930610657,0.3373759984970093,0.3490560054779053,0.001245430029541272
packed_ragged6,True,6,8192,12,v32,4,0,0.2871760006248951,0.287200003862381,0.289247989654541,0.2841919958591461,0.29980799555778503,0.001594446687214732
packed_ragged6,True,6,8192,12,compat_v128,4,1,0.3396740804612637,0.3402880132198334,0.3405759930610657,0.3367680013179779,0.35065600275993347,0.0013001640611018809
packed_ragged6,True,6,8192,12,v16,4,2,0.32139599800109864,0.3219200074672699,0.3221760094165802,0.3182080090045929,0.33580800890922546,0.001478889797179361
packed_ragged6,True,6,8192,12,v64,4,3,0.28059119820594786,0.2810240089893341,0.28118398785591125,0.2779519855976105,0.2897599935531616,0.0011611603325885989
